Campus,Centro/Instituto,Curso
Viçosa,Centro de Ciências Agrárias (CCA),Agronegócio
Viçosa,Centro de Ciências Agrárias (CCA),Agronomia
Viçosa,Centro de Ciências Agrárias (CCA),Cooperativismo
Viçosa,Centro de Ciências Agrárias (CCA),Engenharia Agrícola e Ambiental
Viçosa,Centro de Ciências Agrárias (CCA),Engenharia Florestal
Viçosa,Centro de Ciências Agrárias (CCA),Zootecnia
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Bioquímica
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Ciências Biológicas – Bacharelado/Licenciatura
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Ciências Biológicas – Licenciatura – Noturno
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Educação Física – Bacharelado/Licenciatura
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Enfermagem
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Medicina
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Medicina Veterinária
Viçosa,Centro de Ciências Biológicas e da Saúde (CCB),Nutrição
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Arquitetura e Urbanismo
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Ciência da Computação
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Ciência e Tecnologia de Laticínios
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia Ambiental
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia Civil
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia de Agrimensura e Cartográfica
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia de Alimentos
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia de Produção
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia Elétrica
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia Mecânica
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Engenharia Química
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Física – Bacharelado/Licenciatura
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Física – Licenciatura
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Matemática – Bacharelado/Licenciatura
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Matemática – Licenciatura
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Química – Bacharelado/Licenciatura
Viçosa,Centro de Ciências Exatas e Tecnológicas (CCE),Química – Licenciatura
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Administração
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Ciências Contábeis
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Ciências Econômicas
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Ciências Sociais – Bacharelado/Licenciatura
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Comunicação Social – Jornalismo
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Dança – Bacharelado/Licenciatura
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Direito
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Educação do Campo
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Educação Infantil
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Geografia – Bacharelado/Licenciatura
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",História – Bacharelado/Licenciatura
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Letras
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Pedagogia
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Secretariado Executivo Trilíngue
Viçosa,"Centro de Ciências Humanas, Letras e Artes (CCH)",Serviço Social
Florestal,Instituto de Ciências Agrárias (IAF),Agronomia
Florestal,Instituto de Ciências Biológicas e da Saúde (IBF),Ciências Biológicas – Licenciatura
Florestal,Instituto de Ciências Biológicas e da Saúde (IBF),Educação Física – Licenciatura
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Ciência da Computação
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Engenharia de Alimentos
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Física – Licenciatura
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Matemática – Licenciatura
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Química – Licenciatura
Florestal,Instituto de Ciências Exatas e Tecnológicas (IEF),Tecnologia em Gestão Ambiental
Florestal,Instituto de Ciências Humanas e Sociais (IHF),Administração
Rio Paranaíba,Instituto de Ciências Agrárias (IAP),Agronomia
Rio Paranaíba,Instituto de Ciências Biológicas e da Saúde (IBP),Ciências Biológicas – Ênfase em Conservação da Biodiversidade
Rio Paranaíba,Instituto de Ciências Biológicas e da Saúde (IBP),Nutrição
