Carimbo de data/hora,Você é estudante da UFV em qual nível?,Marque o curso de graduação que você faz,Selecione o curso de mestrado que você faz,Selecione o curso de doutorado que você faz,Selecione o curso de pós-graduação lato-sensu (especialização) que você faz,"Em relação ao seu contato com ferramentas de Inteligência Artificial, como você se classificaria?","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [ChatGPT]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Gemini (Google)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Llama (Meta AI)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Midjourney]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [DALL-E]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Deepseek]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Outras]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para organizar e orientar meus estudos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para conferir respostas a exercícios e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Incorporo soluções fornecidas pela ferramenta aos meus trabalhos e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Emprego respostas fornecidas pela IA aos meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para orientar a busca, coleta e análise de material de estudo ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para automatizar tarefas secundárias ou braçais durante meus estudos ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Peço para a ferramenta fazer resumos de materiais que forneço a ela]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço análise de dados usando a ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para programar ou me auxiliar com programação]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para correção ou revisão de textos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para produzir imagens a serem incluídas em meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para analisar imagens que forneço à ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com matemática]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com estatística]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço apresentações de slides ou pôsteres usando a ferramenta]","Se você faz ou consegue imaginar usos que não foram contemplados na questão anterior, descreva-os aqui. Se for algo que já pratica, indique também a frequência de uso.",O que você entende por IA (Inteligência Artificial)?,"Em relação a IA e o futuro dos estudos e do trabalho, como você se sente?",Qual(is) tipo(s) de debate sobre o tema da Inteligência Artificial você gostaria de ver dentro da UFV?
04/12/2024 11:06:42,Estudante de graduação,Comunicação Social – Jornalismo,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Somente testei,Desconheço,,Apenas ouvi falar,Com frequência,Sempre,"Nunca usei, mas tenho curiosidade",Sempre,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,"Nunca usei, mas tenho curiosidade",Sempre,Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Gero avatares e musica para minhas apresentações de vídeos.,"Segundo o chatGPT, IA é ....","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
26/03/2025 21:28:06,Estudante de mestrado (ou mestrado profissional),,Administração,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Somente testei,Uso corriqueiramente,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,,Prefiro não opinar.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 05:36:45,Estudante de graduação,Comunicação Social – Jornalismo,,,,Nunca usei e não pretendo usar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,,,,,,,,,,,,,,,,,ferramenta que aprende o conteúdo humano disponível na internet para sozinho gerar respostas à perguntas e pedidos a partir dele,Acredito que é uma ameaça à qualidade do aprendizado humano,"Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 06:10:52,Estudante de graduação,Engenharia Civil,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Desconheço,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,,Ferramenta de pesquisa automatizada ,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 06:19:14,Estudante de graduação,Engenharia Florestal,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Desconheço,Uso corriqueiramente,Com frequência,Sempre,Sempre,Sempre,Sempre,Com frequência,Sempre,Com frequência,Com frequência,Sempre,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",,sistema de informações que fica cada vez mais inteligente de acordo com as informações que são lançadas a ele,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 06:22:39,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Sempre,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Uso para organizar a rotina de estudos com academia projetos de pesquisa e vida pessoal, como a criação de um cronograma divido em tarefas por dia ou hora",A IA foi feito para ajudar as pessoas no seu dia a dia em diversas tarefas,"Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 06:27:26,Estudante de graduação,Engenharia de Alimentos,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Somente testei,Com frequência,Sempre,Com frequência,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Uso também para problemas pessoais do dia a dia ,Um Google “mais avançado”,"Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 06:38:40,Estudante de doutorado,,,Ciência da Computação,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Uso corriqueiramente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Nunca usei e não pretendo,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,São ferramentas baseadas em modelos do sistema nervoso central do ser humano que mimetizam o processo de aprendizagem.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 06:42:33,Estudante de graduação,Ciências Biológicas (Bacharelado/Licenciatura),,,,Uso esporadicamente,Somente testei,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Ferramentas que utilizam informações de diversos lugares da internet e juntam em um lugar, sendo que essas informações podem ser incorretas.","Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano","Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 06:52:09,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,"Somente testei, Uso corriqueiramente",Somente testei,Desconheço,Somente testei,Somente testei,Somente testei,"Nunca usei, mas tenho curiosidade",Sempre,Sempre,Esporadicamente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Esporadicamente,Esporadicamente,Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",,Pesos que se ajustam com o tempo,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na pesquisa, Eventos explicando melhor a tecnologia, em termos técnicos"
